,STATION,DATE,TEMP,MAX,MIN,CELSIUS
1891,RP000098755,2018-03-07,80.42,86.36,74.66,26.90
1892,RP000098755,2018-03-08,80.24,86.72,73.76,26.80
1893,RP000098755,2018-03-09,79.88,87.80,73.22,26.60
1894,RP000098755,2018-03-10,80.42,87.44,72.50,26.90
1895,RP000098755,2018-03-11,81.32,86.72,,27.40
1896,RP000098755,2018-03-12,80.42,86.90,73.76,26.90
1897,RP000098755,2018-03-13,81.86,,74.12,27.70
1898,RP000098755,2018-03-14,79.34,,73.58,26.30
1899,RP000098755,2018-03-15,79.52,89.06,73.76,26.40
1900,RP000098755,2018-03-16,82.40,90.86,74.30,28.00
1901,RP000098755,2018-03-17,80.60,88.34,,27.00
1902,RP000098755,2018-03-18,80.78,87.62,,27.10
1903,RP000098755,2018-03-19,75.02,79.70,,23.90
1904,RP000098755,2018-03-20,78.62,85.64,71.60,25.90
1905,RP000098755,2018-03-21,78.62,,,25.90
1906,RP000098755,2018-03-22,79.16,87.08,71.42,26.20
